Dataset, Counts, Rates (Hz)
NoBPTX, 41, 41
HLTPhysics, 103, 103
EphemeralHLTPhysics1, 10017, 10017
EphemeralHLTPhysics2, 10017, 10017
EphemeralHLTPhysics3, 10017, 10017
EphemeralHLTPhysics4, 10017, 10017
EphemeralHLTPhysics5, 10017, 10017
EphemeralHLTPhysics6, 10017, 10017
EphemeralHLTPhysics7, 10017, 10017
EphemeralHLTPhysics8, 10017, 10017
ZeroBias, 337, 337
EphemeralZeroBias1, 237, 237
EphemeralZeroBias2, 237, 237
EphemeralZeroBias3, 237, 237
EphemeralZeroBias4, 237, 237
EphemeralZeroBias5, 237, 237
EphemeralZeroBias6, 237, 237
EphemeralZeroBias7, 237, 237
EphemeralZeroBias8, 237, 237
ParkingHT, 1008, 1008
ParkingMuon, 2425, 2425
ScoutingCaloMuon, 401, 401
AlCaPhiSym, 333, 333
Commissioning, 4, 4
HcalNZS, 1, 1
IsolatedBunch, 0, 0
RPCMonitor, 680, 680
AlCaLumiPixels, 237, 237
AlCaP0, 1109, 1109
