, JetHTMHTBTagCSV, MuOnia, EG, MuonEG, DoubleMuon, Charmonium, DoubleMuonLowMass, SingleMuon, NoBPTX, MET, BTagMu, DisplacedJet, HLTPhysics, EphemeralHLTPhysics1, EphemeralHLTPhysics2, EphemeralHLTPhysics3, EphemeralHLTPhysics4, EphemeralHLTPhysics5, EphemeralHLTPhysics6, EphemeralHLTPhysics7, EphemeralHLTPhysics8, ZeroBias, EphemeralZeroBias1, EphemeralZeroBias2, EphemeralZeroBias3, EphemeralZeroBias4, EphemeralZeroBias5, EphemeralZeroBias6, EphemeralZeroBias7, EphemeralZeroBias8, ParkingHT, ParkingMuon, ScoutingCaloMuon, AlCaPhiSym, Commissioning, HcalNZS, IsolatedBunch, RPCMonitor, AlCaLumiPixels, AlCaP0, Tau
JetHTMHTBTagCSV, 360, 0, 16, 1, 0, 0, 0, 5, 0, 13, 0, 70, 4, 360, 360, 360, 360, 360, 360, 360, 360, 109, 109, 109, 109, 109, 109, 109, 109, 109, 346, 7, 220, 109, 3, 0, 0, 6, 109, 121, 2
MuOnia, 0, 21, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 21, 21, 21, 21, 21, 21, 21, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0
EG, 16, 0, 259, 3, 0, 0, 0, 1, 0, 3, 0, 5, 1, 259, 259, 259, 259, 259, 259, 259, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 16, 0, 0, 0, 0, 0, 0, 101, 0
MuonEG, 1, 0, 3, 11, 2, 2, 1, 3, 0, 0, 0, 1, 0, 11, 11, 11, 11, 11, 11, 11, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 1, 0, 0, 0, 0, 2, 0, 2, 0
DoubleMuon, 0, 0, 0, 2, 21, 1, 0, 11, 0, 0, 0, 0, 1, 21, 21, 21, 21, 21, 21, 21, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 13, 0, 0, 0
Charmonium, 0, 1, 0, 2, 1, 85, 7, 2, 0, 0, 0, 0, 0, 85, 85, 85, 85, 85, 85, 85, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 1, 0, 0, 0
DoubleMuonLowMass, 0, 0, 0, 1, 0, 7, 10, 1, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 0, 0, 0
SingleMuon, 5, 0, 1, 3, 11, 2, 1, 1417, 3, 1, 0, 2, 14, 1417, 1417, 1417, 1417, 1417, 1417, 1417, 1417, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1415, 8, 0, 0, 1, 0, 646, 0, 7, 0
NoBPTX, 0, 0, 0, 0, 0, 0, 0, 3, 41, 0, 0, 0, 0, 41, 41, 41, 41, 41, 41, 41, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 0, 0, 0
MET, 13, 0, 3, 0, 0, 0, 0, 1, 0, 147, 0, 8, 1, 147, 147, 147, 147, 147, 147, 147, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 1, 15, 0, 0, 0, 0, 1, 0, 27, 0
BTagMu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DisplacedJet, 70, 0, 5, 1, 0, 0, 0, 2, 0, 8, 0, 70, 1, 70, 70, 70, 70, 70, 70, 70, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 1, 70, 0, 1, 0, 0, 1, 0, 41, 2
HLTPhysics, 4, 0, 1, 0, 1, 0, 0, 14, 0, 1, 0, 1, 103, 103, 103, 103, 103, 103, 103, 103, 103, 2, 1, 1, 1, 1, 1, 1, 1, 1, 7, 26, 5, 2, 0, 0, 0, 6, 1, 13, 0
EphemeralHLTPhysics1, 360, 21, 259, 11, 21, 85, 10, 1417, 41, 147, 3, 70, 103, 10017, 10017, 10017, 10017, 10017, 10017, 10017, 10017, 337, 237, 237, 237, 237, 237, 237, 237, 237, 1008, 2425, 401, 333, 4, 1, 0, 680, 237, 1109, 7
EphemeralHLTPhysics2, 360, 21, 259, 11, 21, 85, 10, 1417, 41, 147, 3, 70, 103, 10017, 10017, 10017, 10017, 10017, 10017, 10017, 10017, 337, 237, 237, 237, 237, 237, 237, 237, 237, 1008, 2425, 401, 333, 4, 1, 0, 680, 237, 1109, 7
EphemeralHLTPhysics3, 360, 21, 259, 11, 21, 85, 10, 1417, 41, 147, 3, 70, 103, 10017, 10017, 10017, 10017, 10017, 10017, 10017, 10017, 337, 237, 237, 237, 237, 237, 237, 237, 237, 1008, 2425, 401, 333, 4, 1, 0, 680, 237, 1109, 7
