Path, Groups, Counts, Rates (Hz)
Total Misc, , 10017, 10017
HLT_DoubleEle24_eta2p1_WPTight_Gsf_v6, , 0, 0
HLT_DoubleMu4_3_Jpsi_v1, , 11, 11
HLT_DoubleMu4_Mass3p8_DZ_PFHT350_v7, , 1, 1
HLT_Ele15_WPLoose_Gsf_v2, , 0, 0
HLT_Ele17_WPLoose_Gsf_v2, , 0, 0
HLT_HT450_Beamspot_v10, , 57, 57
HLT_HT300_Beamspot_v10, , 285, 285
HLT_ZeroBias_Beamspot_v3, , 237, 237
HLT_UncorrectedJetE30_NoBPTX_v6, EXO , 0, 0
HLT_UncorrectedJetE30_NoBPTX3BX_v6, EXO , 0, 0
HLT_UncorrectedJetE60_NoBPTX3BX_v6, EXO , 0, 0
HLT_UncorrectedJetE70_NoBPTX3BX_v6, EXO , 0, 0
HLT_L2Mu10_NoVertex_NoBPTX3BX_v5, EXO , 41, 41
HLT_L2Mu10_NoVertex_NoBPTX_v6, EXO , 0, 0
HLT_L2Mu45_NoVertex_3Sta_NoBPTX3BX_v4, EXO , 7, 7
HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX_v5, EXO , 8, 8
HLT_L2Mu23NoVtx_2Cha_v1, , 148, 148
HLT_L2Mu23NoVtx_2Cha_CosmicSeed_v1, , 118, 118
HLT_DoubleL2Mu30NoVtx_2Cha_CosmicSeed_Eta2p4_v2, , 1, 1
HLT_DoubleL2Mu30NoVtx_2Cha_Eta2p4_v2, , 2, 2
HLT_DoubleL2Mu23NoVtx_2Cha_CosmicSeed_v2, , 4, 4
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_v2, , 3, 3
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_Eta2p4_v2, , 3, 3
HLT_DoubleL2Mu23NoVtx_2Cha_v2, , 2, 2
HLT_DoubleL2Mu25NoVtx_2Cha_v2, , 2, 2
HLT_DoubleL2Mu25NoVtx_2Cha_Eta2p4_v2, , 2, 2
