Path, Groups, Counts, Rates (Hz)
Total Parking, , 3419, 3419
DST_HT250_CaloScouting_v10, EXO , 457, 457
DST_HT250_CaloBTagScouting_v9, EXO , 454, 454
DST_HT410_PFScouting_v15, EXO , 82, 82
DST_HT410_BTagScouting_v15, EXO , 82, 82
DST_ZeroBias_BTagScouting_v14, EXO , 15, 15
DST_ZeroBias_CaloScouting_PFScouting_v13, EXO , 237, 237
DST_CaloJet40_BTagScouting_v14, EXO , 5, 5
DST_CaloJet40_CaloScouting_PFScouting_v14, EXO , 10, 10
DST_CaloJet40_CaloBTagScouting_v13, EXO , 9, 9
DST_L1HTT_BTagScouting_v14, EXO , 675, 675
DST_L1HTT_CaloScouting_PFScouting_v14, EXO , 771, 771
DST_L1HTT_CaloBTagScouting_v13, EXO , 694, 694
DST_L1DoubleMu_BTagScouting_v15, EXO , 643, 643
DST_L1DoubleMu_CaloScouting_PFScouting_v14, EXO , 2425, 2425
DST_DoubleMu3_noVtx_CaloScouting_v6, EXO , 320, 320
