Path, Groups, Counts, Rates (Hz)
Total Physics, , 2276, 2276
HLT_AK8PFJet360_TrimMass30_v17, B2G EXO , 2, 2
HLT_AK8PFJet380_TrimMass30_v10, B2G EXO , 1, 1
HLT_AK8PFJet400_TrimMass30_v11, B2G EXO , 1, 1
HLT_AK8PFJet420_TrimMass30_v10, B2G EXO , 0, 0
HLT_AK8PFHT750_TrimMass50_v11, B2G EXO , 0, 0
HLT_AK8PFHT800_TrimMass50_v11, B2G EXO , 0, 0
HLT_AK8PFHT850_TrimMass50_v10, B2G EXO , 0, 0
HLT_AK8PFHT900_TrimMass50_v10, B2G EXO , 0, 0
HLT_CaloJet500_NoJetID_v12, EXO , 1, 1
HLT_CaloJet550_NoJetID_v7, EXO EGM , 0, 0
HLT_DoubleMu5_Upsilon_DoubleEle3_CaloIdL_TrackIdL_v3, BPH , 0, 0
HLT_DoubleMu3_DoubleEle7p5_CaloIdL_TrackIdL_Upsilon_v3, BPH , 0, 0
HLT_Trimuon5_3p5_2_Upsilon_Muon_v4, BPH , 1, 1
HLT_TrimuonOpen_5_3p5_2_Upsilon_Muon_v3, BPH , 0, 0
HLT_DoubleEle25_CaloIdL_MW_v3, EXO , 2, 2
HLT_DoubleEle27_CaloIdL_MW_v3, EXO , 2, 2
HLT_DoubleEle33_CaloIdL_MW_v16, EXO , 2, 2
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_DZ_PFHT350_v19, SUS , 0, 0
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350_v19, SUS , 0, 0
HLT_Ele27_Ele37_CaloIdL_MW_v3, B2G , 2, 2
HLT_Mu27_Ele37_CaloIdL_MW_v4, B2G , 0, 0
HLT_Mu37_Ele27_CaloIdL_MW_v4, B2G , 0, 0
HLT_Mu37_TkMu27_v4, B2G , 0, 0
HLT_DoubleMu4_3_Bs_v13, BPH , 1, 1
HLT_DoubleMu4_JpsiTrk_Displaced_v14, BPH , 4, 4
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v14, BPH , 5, 5
HLT_DoubleMu3_Trk_Tau3mu_v11, BPH , 3, 3
HLT_DoubleMu3_TkMu_DsTau3Mu_v3, BPH , 0, 0
HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14, BPH , 0, 0
HLT_Mu3_PFJet40_v15, SUS , 0, 0
