Stream, Dataset,  Counts,  Rates (Hz)
PhysicsMuons, SingleMuon, 1417, 72947.23
PhysicsMuons, Charmonium, 85, 4375.8
PhysicsMuons, DoubleMuon, 21, 1081.08
PhysicsMuons, MuOnia, 21, 1081.08
PhysicsMuons, MuonEG, 11, 566.28
PhysicsMuons, DoubleMuonLowMass, 10, 514.8
PhysicsHadronsTaus, JetHT, 360, 18532.82
PhysicsHadronsTaus, MET, 147, 7567.57
PhysicsHadronsTaus, DisplacedJet, 70, 3603.6
PhysicsHadronsTaus, Tau, 7, 360.36
PhysicsHadronsTaus, BTagMu, 3, 154.44
PhysicsHadronsTaus, HTMHT, 0, 0.0
PhysicsHadronsTaus, BTagCSV, 0, 0.0
PhysicsEGamma, SinglePhoton, 198, 10193.05
PhysicsEGamma, SingleElectron, 50, 2574.0
PhysicsEGamma, DoubleEG, 38, 1956.24
, Sum, 2438, 125508.37
