,  JetHT,  MuOnia,  DoubleEG,  MuonEG,  DoubleMuon,  Charmonium,  DoubleMuonLowMass,  SingleMuon,  SingleElectron,  NoBPTX,  HTMHT,  MET,  BTagCSV,  SinglePhoton,  BTagMu,  DisplacedJet,  HLTPhysics,  EphemeralHLTPhysics1,  EphemeralHLTPhysics2,  EphemeralHLTPhysics3,  EphemeralHLTPhysics4,  EphemeralHLTPhysics5,  EphemeralHLTPhysics6,  EphemeralHLTPhysics7,  EphemeralHLTPhysics8,  ZeroBias,  EphemeralZeroBias1,  EphemeralZeroBias2,  EphemeralZeroBias3,  EphemeralZeroBias4,  EphemeralZeroBias5,  EphemeralZeroBias6,  EphemeralZeroBias7,  EphemeralZeroBias8,  ParkingHT,  ParkingMuon,  ScoutingCaloMuon,  AlCaPhiSym,  Commissioning,  HcalNZS,  IsolatedBunch,  RPCMonitor,  AlCaLumiPixels,  AlCaP0,  Tau
JetHT, 18532.82, 0.0, 102.96, 51.48, 0.0, 0.0, 0.0, 257.4, 154.44, 0.0, 0.0, 669.24, 0.0, 772.2, 0.0, 3603.6, 205.92, 18532.82, 18532.82, 18532.82, 18532.82, 18532.82, 18532.82, 18532.82, 18532.82, 5611.33, 5611.33, 5611.33, 5611.33, 5611.33, 5611.33, 5611.33, 5611.33, 5611.33, 17812.1, 360.36, 11325.61, 5611.33, 154.44, 0.0, 0.0, 308.88, 5611.33, 6229.09, 102.96
HTMHT, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NoBPTX, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 154.44, 0.0, 2110.68, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2110.68, 2110.68, 2110.68, 2110.68, 2110.68, 2110.68, 2110.68, 2110.68, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 205.92, 0.0, 0.0, 0.0, 0.0, 0.0, 154.44, 0.0, 0.0, 0.0
SingleElectron, 154.44, 0.0, 257.4, 102.96, 0.0, 0.0, 0.0, 51.48, 2574.0, 0.0, 0.0, 51.48, 0.0, 360.36, 0.0, 102.96, 0.0, 2574.0, 2574.0, 2574.0, 2574.0, 2574.0, 2574.0, 2574.0, 2574.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 154.44, 0.0, 154.44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 617.76, 0.0
DoubleMuon, 0.0, 0.0, 0.0, 102.96, 1081.08, 51.48, 0.0, 566.28, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 1081.08, 1081.08, 1081.08, 1081.08, 1081.08, 1081.08, 1081.08, 1081.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 617.76, 0.0, 0.0, 0.0, 0.0, 0.0, 669.24, 0.0, 0.0, 0.0
MuOnia, 0.0, 1081.08, 0.0, 0.0, 0.0, 51.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1081.08, 1081.08, 1081.08, 1081.08, 1081.08, 1081.08, 1081.08, 1081.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1081.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EphemeralHLTPhysics8, 18532.82, 1081.08, 1956.24, 566.28, 1081.08, 4375.8, 514.8, 72947.23, 2574.0, 2110.68, 0.0, 7567.57, 0.0, 10193.05, 154.44, 3603.6, 5302.45, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 17348.78, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 51891.89, 124839.12, 20643.5, 17142.86, 205.92, 51.48, 0.0, 35006.44, 12200.77, 57091.38, 360.36
EphemeralHLTPhysics6, 18532.82, 1081.08, 1956.24, 566.28, 1081.08, 4375.8, 514.8, 72947.23, 2574.0, 2110.68, 0.0, 7567.57, 0.0, 10193.05, 154.44, 3603.6, 5302.45, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 17348.78, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 51891.89, 124839.12, 20643.5, 17142.86, 205.92, 51.48, 0.0, 35006.44, 12200.77, 57091.38, 360.36
EphemeralHLTPhysics7, 18532.82, 1081.08, 1956.24, 566.28, 1081.08, 4375.8, 514.8, 72947.23, 2574.0, 2110.68, 0.0, 7567.57, 0.0, 10193.05, 154.44, 3603.6, 5302.45, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 17348.78, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 51891.89, 124839.12, 20643.5, 17142.86, 205.92, 51.48, 0.0, 35006.44, 12200.77, 57091.38, 360.36
EphemeralHLTPhysics4, 18532.82, 1081.08, 1956.24, 566.28, 1081.08, 4375.8, 514.8, 72947.23, 2574.0, 2110.68, 0.0, 7567.57, 0.0, 10193.05, 154.44, 3603.6, 5302.45, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 17348.78, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 51891.89, 124839.12, 20643.5, 17142.86, 205.92, 51.48, 0.0, 35006.44, 12200.77, 57091.38, 360.36
