,  JetHTMHTBTagCSV,  MuOnia,  EG,  MuonEG,  DoubleMuon,  Charmonium,  DoubleMuonLowMass,  SingleMuon,  NoBPTX,  MET,  BTagMu,  DisplacedJet,  HLTPhysics,  EphemeralHLTPhysics1,  EphemeralHLTPhysics2,  EphemeralHLTPhysics3,  EphemeralHLTPhysics4,  EphemeralHLTPhysics5,  EphemeralHLTPhysics6,  EphemeralHLTPhysics7,  EphemeralHLTPhysics8,  ZeroBias,  EphemeralZeroBias1,  EphemeralZeroBias2,  EphemeralZeroBias3,  EphemeralZeroBias4,  EphemeralZeroBias5,  EphemeralZeroBias6,  EphemeralZeroBias7,  EphemeralZeroBias8,  ParkingHT,  ParkingMuon,  ScoutingCaloMuon,  AlCaPhiSym,  Commissioning,  HcalNZS,  IsolatedBunch,  RPCMonitor,  AlCaLumiPixels,  AlCaP0,  Tau
JetHTMHTBTagCSV, 154.44, 0.0, 6.86, 0.43, 0.0, 0.0, 0.0, 2.15, 0.0, 5.58, 0.0, 30.03, 1.72, 154.44, 154.44, 154.44, 154.44, 154.44, 154.44, 154.44, 154.44, 46.76, 46.76, 46.76, 46.76, 46.76, 46.76, 46.76, 46.76, 46.76, 148.43, 3.0, 94.38, 46.76, 1.29, 0.0, 0.0, 2.57, 46.76, 51.91, 0.86
NoBPTX, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.29, 17.59, 0.0, 0.0, 0.0, 0.0, 17.59, 17.59, 17.59, 17.59, 17.59, 17.59, 17.59, 17.59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.72, 0.0, 0.0, 0.0, 0.0, 0.0, 1.29, 0.0, 0.0, 0.0
DoubleMuon, 0.0, 0.0, 0.0, 0.86, 9.01, 0.43, 0.0, 4.72, 0.0, 0.0, 0.0, 0.0, 0.43, 9.01, 9.01, 9.01, 9.01, 9.01, 9.01, 9.01, 9.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.15, 0.0, 0.0, 0.0, 0.0, 0.0, 5.58, 0.0, 0.0, 0.0
MuOnia, 0.0, 9.01, 0.0, 0.0, 0.0, 0.43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.01, 9.01, 9.01, 9.01, 9.01, 9.01, 9.01, 9.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EphemeralHLTPhysics8, 154.44, 9.01, 111.11, 4.72, 9.01, 36.47, 4.29, 607.89, 17.59, 63.06, 1.29, 30.03, 44.19, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 144.57, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 432.43, 1040.33, 172.03, 142.86, 1.72, 0.43, 0.0, 291.72, 101.67, 475.76, 3.0
EphemeralHLTPhysics6, 154.44, 9.01, 111.11, 4.72, 9.01, 36.47, 4.29, 607.89, 17.59, 63.06, 1.29, 30.03, 44.19, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 144.57, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 432.43, 1040.33, 172.03, 142.86, 1.72, 0.43, 0.0, 291.72, 101.67, 475.76, 3.0
EphemeralHLTPhysics7, 154.44, 9.01, 111.11, 4.72, 9.01, 36.47, 4.29, 607.89, 17.59, 63.06, 1.29, 30.03, 44.19, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 144.57, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 432.43, 1040.33, 172.03, 142.86, 1.72, 0.43, 0.0, 291.72, 101.67, 475.76, 3.0
EphemeralHLTPhysics4, 154.44, 9.01, 111.11, 4.72, 9.01, 36.47, 4.29, 607.89, 17.59, 63.06, 1.29, 30.03, 44.19, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 144.57, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 432.43, 1040.33, 172.03, 142.86, 1.72, 0.43, 0.0, 291.72, 101.67, 475.76, 3.0
EphemeralHLTPhysics5, 154.44, 9.01, 111.11, 4.72, 9.01, 36.47, 4.29, 607.89, 17.59, 63.06, 1.29, 30.03, 44.19, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 144.57, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 432.43, 1040.33, 172.03, 142.86, 1.72, 0.43, 0.0, 291.72, 101.67, 475.76, 3.0
EphemeralHLTPhysics2, 154.44, 9.01, 111.11, 4.72, 9.01, 36.47, 4.29, 607.89, 17.59, 63.06, 1.29, 30.03, 44.19, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 144.57, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 432.43, 1040.33, 172.03, 142.86, 1.72, 0.43, 0.0, 291.72, 101.67, 475.76, 3.0
