Path (w/ version number), Path,  Groups,  Counts,  Rates (Hz)
MC_CaloMET_JetIdCleaned_v9, MC_CaloMET_JetIdCleaned_v,  , 10017, 515675.68
DST_Physics_v7, DST_Physics_v,  , 10017, 515675.68
HLT_Physics_part6_v7, HLT_Physics_part6_v,  TSG , 10017, 515675.68
HLT_Physics_part5_v7, HLT_Physics_part5_v,  TSG , 10017, 515675.68
HLT_Physics_part3_v7, HLT_Physics_part3_v,  TSG , 10017, 515675.68
MC_CaloMET_v8, MC_CaloMET_v,  , 10017, 515675.68
HLT_Physics_part2_v7, HLT_Physics_part2_v,  TSG , 10017, 515675.68
MC_PFMHT_v15, MC_PFMHT_v,  , 10017, 515675.68
MC_PFMET_v16, MC_PFMET_v,  , 10017, 515675.68
HLT_Physics_part4_v7, HLT_Physics_part4_v,  TSG , 10017, 515675.68
HLT_Physics_part1_v7, HLT_Physics_part1_v,  TSG , 10017, 515675.68
MC_CaloMHT_v8, MC_CaloMHT_v,  , 10017, 515675.68
HLT_Physics_part0_v7, HLT_Physics_part0_v,  TSG , 10017, 515675.68
Total Misc, Total Misc,  , 10017, 515675.68
HLT_Physics_part7_v7, HLT_Physics_part7_v,  TSG , 10017, 515675.68
MC_ReducedIterativeTracking_v12, MC_ReducedIterativeTracking_v,  , 10017, 515675.68
MC_AK8CaloHT_v8, MC_AK8CaloHT_v,  , 9919, 510630.63
MC_AK8PFHT_v15, MC_AK8PFHT_v,  , 9786, 503783.78
MC_AK8TrimPFJets_v16, MC_AK8TrimPFJets_v,  , 9725, 500643.5
MC_CaloHT_v8, MC_CaloHT_v,  , 9541, 491171.17
MC_AK4CaloJets_v9, MC_AK4CaloJets_v,  , 9445, 486229.09
MC_AK8PFJets_v16, MC_AK8PFJets_v,  , 9055, 466151.87
MC_PFHT_v15, MC_PFHT_v,  , 8925, 459459.46
MC_AK4PFJets_v16, MC_AK4PFJets_v,  , 7848, 404015.44
MC_AK4CaloJetsFromPV_v7, MC_AK4CaloJetsFromPV_v,  , 6790, 349549.55
MC_PFBTagDeepCSV_v9, MC_PFBTagDeepCSV_v,  , 1244, 64041.18
MC_CaloBTagDeepCSV_v7, MC_CaloBTagDeepCSV_v,  , 1030, 53024.45
AlCa_EcalPi0EBonly_v13, AlCa_EcalPi0EBonly_v,  ALCA ECAL , 862, 44375.8
AlCa_RPCMuonNormalisation_v13, AlCa_RPCMuonNormalisation_v,  RPC , 680, 35006.44
DST_DoubleMu1_noVtx_CaloScouting_v2, DST_DoubleMu1_noVtx_CaloScouting_v,  , 415, 21364.22
AlCa_EcalPhiSym_v9, AlCa_EcalPhiSym_v,  ALCA ECAL , 333, 17142.86
HLT_HT300_Beamspot_v10, HLT_HT300_Beamspot_v,  , 285, 14671.81
HLT_ZeroBias_part7_v6, HLT_ZeroBias_part7_v,  TSG , 237, 12200.77
HLT_ZeroBias_part4_v6, HLT_ZeroBias_part4_v,  TSG , 237, 12200.77
HLT_ZeroBias_part0_v6, HLT_ZeroBias_part0_v,  TSG , 237, 12200.77
HLT_ZeroBias_Beamspot_v3, HLT_ZeroBias_Beamspot_v,  , 237, 12200.77
HLT_ZeroBias_part5_v6, HLT_ZeroBias_part5_v,  TSG , 237, 12200.77
HLT_ZeroBias_v6, HLT_ZeroBias_v,  ALCA TSG , 237, 12200.77
HLT_AK8PFJetFwd15_v2, HLT_AK8PFJetFwd15_v,  , 237, 12200.77
HLT_ZeroBias_part1_v6, HLT_ZeroBias_part1_v,  TSG , 237, 12200.77
HLT_ZeroBias_part3_v6, HLT_ZeroBias_part3_v,  TSG , 237, 12200.77
