Path (w/ version number), Path,  Groups,  Counts,  Rates (Hz)
Total Parking, Total Parking,  , 3419, 176010.3
DST_L1DoubleMu_CaloScouting_PFScouting_v14, DST_L1DoubleMu_CaloScouting_PFScouting_v,  EXO , 2425, 124839.12
DST_L1HTT_CaloScouting_PFScouting_v14, DST_L1HTT_CaloScouting_PFScouting_v,  EXO , 771, 39691.12
DST_L1HTT_CaloBTagScouting_v13, DST_L1HTT_CaloBTagScouting_v,  EXO , 694, 35727.16
DST_L1HTT_BTagScouting_v14, DST_L1HTT_BTagScouting_v,  EXO , 675, 34749.03
DST_L1DoubleMu_BTagScouting_v15, DST_L1DoubleMu_BTagScouting_v,  EXO , 643, 33101.67
DST_HT250_CaloScouting_v10, DST_HT250_CaloScouting_v,  EXO , 457, 23526.38
DST_HT250_CaloBTagScouting_v9, DST_HT250_CaloBTagScouting_v,  EXO , 454, 23371.94
DST_DoubleMu3_noVtx_CaloScouting_v6, DST_DoubleMu3_noVtx_CaloScouting_v,  EXO , 320, 16473.62
DST_ZeroBias_CaloScouting_PFScouting_v13, DST_ZeroBias_CaloScouting_PFScouting_v,  EXO , 237, 12200.77
DST_HT410_BTagScouting_v15, DST_HT410_BTagScouting_v,  EXO , 82, 4221.36
DST_HT410_PFScouting_v15, DST_HT410_PFScouting_v,  EXO , 82, 4221.36
DST_ZeroBias_BTagScouting_v14, DST_ZeroBias_BTagScouting_v,  EXO , 15, 772.2
DST_CaloJet40_CaloScouting_PFScouting_v14, DST_CaloJet40_CaloScouting_PFScouting_v,  EXO , 10, 514.8
DST_CaloJet40_CaloBTagScouting_v13, DST_CaloJet40_CaloBTagScouting_v,  EXO , 9, 463.32
DST_CaloJet40_BTagScouting_v14, DST_CaloJet40_BTagScouting_v,  EXO , 5, 257.4
