Path (w/ version number), Path,  Groups,  Counts,  Rates (Hz)
Total Physics, Total Physics,  , 2276, 117168.6
HLT_L1SingleMu25_v2, HLT_L1SingleMu25_v,  MUO , 1415, 72844.27
HLT_L2Mu10_v7, HLT_L2Mu10_v,  MUO , 901, 46383.53
HLT_PFHT350MinPFJet15_v8, HLT_PFHT350MinPFJet15_v,  EXO , 202, 10398.97
HLT_Photon50_v13, HLT_Photon50_v,  EXO , 197, 10141.57
HLT_PFHT350_v18, HLT_PFHT350_v,  TOP , 161, 8288.29
HLT_L1ETMHadSeeds_v2, HLT_L1ETMHadSeeds_v,  JME , 144, 7413.13
HLT_AK8PFJet40_v15, HLT_AK8PFJet40_v,  SMP , 109, 5611.33
HLT_AK8PFJetFwd40_v14, HLT_AK8PFJetFwd40_v,  SMP , 97, 4993.56
HLT_L2Mu50_v2, HLT_L2Mu50_v,  MUO , 73, 3758.04
HLT_HT425_v9, HLT_HT425_v,  EXO , 69, 3552.12
HLT_Dimuon0_LowMass_L1_4R_v6, HLT_Dimuon0_LowMass_L1_4R_v,  BPH , 64, 3294.72
HLT_Mu27_v12, HLT_Mu27_v,  SMP MUO , 59, 3037.32
HLT_QuadPFJet105_88_76_15_v4, HLT_QuadPFJet105_88_76_15_v,  HIG , 57, 2934.36
HLT_Dimuon0_LowMass_L1_0er1p5R_v6, HLT_Dimuon0_LowMass_L1_0er1p5R_v,  BPH , 53, 2728.44
HLT_QuadPFJet98_83_71_15_v4, HLT_QuadPFJet98_83_71_15_v,  HIG , 51, 2625.48
HLT_Ele27_WPTight_Gsf_v15, HLT_Ele27_WPTight_Gsf_v,  EGM SUS SMP EXO TOP B2G , 47, 2419.56
HLT_QuadPFJet111_90_80_15_v4, HLT_QuadPFJet111_90_80_15_v,  HIG , 45, 2316.6
HLT_Photon75_v13, HLT_Photon75_v,  SMP , 40, 2059.2
HLT_QuadPFJet103_88_75_15_v4, HLT_QuadPFJet103_88_75_15_v,  HIG , 36, 1853.28
HLT_IsoMu24_v12, HLT_IsoMu24_v,  MUO SMP , 35, 1801.8
HLT_Dimuon0_Jpsi_NoVertexing_L1_4R_0er1p5R_v6, HLT_Dimuon0_Jpsi_NoVertexing_L1_4R_0er1p5R_v,  BPH , 35, 1801.8
HLT_PFHT510_v16, HLT_PFHT510_v,  SUS , 34, 1750.32
HLT_AK8PFJet260_v15, HLT_AK8PFJet260_v,  SMP , 34, 1750.32
HLT_IsoMu24_eta2p1_v14, HLT_IsoMu24_eta2p1_v,  MUO SUS SMP TOP , 34, 1750.32
HLT_IsoMu27_v15, HLT_IsoMu27_v,  ALCA MUO SMP SUS HIG B2G TOP EXO , 32, 1647.36
HLT_DiSC30_18_EIso_AND_HE_Mass70_v13, HLT_DiSC30_18_EIso_AND_HE_Mass70_v,  EGM , 31, 1595.88
HLT_Dimuon0_Jpsi_L1_4R_0er1p5R_v6, HLT_Dimuon0_Jpsi_L1_4R_0er1p5R_v,  BPH , 31, 1595.88
HLT_Photon50_R9Id90_HE10_IsoM_v14, HLT_Photon50_R9Id90_HE10_IsoM_v,  SUS B2G , 31, 1595.88
HLT_Ele32_WPTight_Gsf_L1DoubleEG_v8, HLT_Ele32_WPTight_Gsf_L1DoubleEG_v,  EGM , 30, 1544.4
HLT_Ele32_WPTight_Gsf_v14, HLT_Ele32_WPTight_Gsf_v,  EGM , 30, 1544.4
