Streams,  Counts,  Rates (Hz)
PhysicsHLTPhysics2, 10017, 515675.68
PhysicsHLTPhysics3, 10017, 515675.68
PhysicsHLTPhysics1, 10017, 515675.68
PhysicsHLTPhysics4, 10017, 515675.68
Parking, 3419, 176010.3
PhysicsMuons, 1539, 79227.8
ALCAP0, 1109, 57091.38
RPCMON, 680, 35006.44
PhysicsHadronsTaus, 502, 25842.99
PhysicsCommissioning, 484, 24916.34
ScoutingCaloMuon, 401, 20643.5
ALCAPHISYM, 333, 17142.86
PhysicsEGamma, 259, 13333.33
PhysicsZeroBias4, 237, 12200.77
PhysicsZeroBias2, 237, 12200.77
PhysicsZeroBias3, 237, 12200.77
PhysicsZeroBias1, 237, 12200.77
ALCALUMIPIXELS, 237, 12200.77
