,  JetHT,  MuOnia,  DoubleEG,  MuonEG,  DoubleMuon,  Charmonium,  DoubleMuonLowMass,  SingleMuon,  SingleElectron,  NoBPTX,  HTMHT,  MET,  BTagCSV,  SinglePhoton,  BTagMu,  DisplacedJet,  HLTPhysics,  EphemeralHLTPhysics1,  EphemeralHLTPhysics2,  EphemeralHLTPhysics3,  EphemeralHLTPhysics4,  EphemeralHLTPhysics5,  EphemeralHLTPhysics6,  EphemeralHLTPhysics7,  EphemeralHLTPhysics8,  ZeroBias,  EphemeralZeroBias1,  EphemeralZeroBias2,  EphemeralZeroBias3,  EphemeralZeroBias4,  EphemeralZeroBias5,  EphemeralZeroBias6,  EphemeralZeroBias7,  EphemeralZeroBias8,  ParkingHT,  ParkingMuon,  ScoutingCaloMuon,  AlCaPhiSym,  Commissioning,  HcalNZS,  IsolatedBunch,  RPCMonitor,  AlCaLumiPixels,  AlCaP0,  Tau,  NonPure
HLT_L2Mu45_NoVertex_3Sta_NoBPTX3BX_v, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 360.36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 360.36, 360.36, 360.36, 360.36, 360.36, 360.36, 360.36, 360.36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 360.36
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350_v, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
MC_Ele5_WPTight_Gsf_v, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
HLT_PFMET130_PFMHT130_IDTight_v, 51.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 154.44, 0.0, 51.48, 0.0, 0.0, 0.0, 154.44, 154.44, 154.44, 154.44, 154.44, 154.44, 154.44, 154.44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 0.0, 51.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 0.0, 154.44
HLT_AK8PFJetFwd60_v, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
HLT_PFHT590_v, 926.64, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 205.92, 0.0, 0.0, 0.0, 926.64, 0.0, 926.64, 926.64, 926.64, 926.64, 926.64, 926.64, 926.64, 926.64, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 926.64, 0.0, 926.64, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 514.8, 0.0, 926.64
HLT_AK4CaloJet80_v, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v, 0.0, 0.0, 51.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 0.0, 0.0, 0.0, 51.48, 51.48, 51.48, 51.48, 51.48, 51.48, 51.48, 51.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48
HLT_TriplePhoton_20_20_20_CaloIdLV2_R9IdVL_v, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
HLT_Mu30_TkMu0_Onia_v, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
