Paths, L1 PS, HLT PS, Counts, Rates (Hz)
AlCa_EcalEtaEBonly_v, 1, 1, 263887, 1941.781352
AlCa_EcalEtaEEonly_v, 1, 1, 35367, 260.246324
AlCa_EcalPhiSym_v, 110, 1, 579341, 4263.017052
AlCa_EcalPi0EBonly_v, 1, 1, 875362, 6441.271048
AlCa_EcalPi0EEonly_v, 1, 1, 180803, 1330.420416
AlCa_LumiPixels_Random_v, 1, 1, 149596, 1100.777988
AlCa_LumiPixels_ZeroBias_v, 12457, 1, 579355, 4263.13026
AlCa_RPCMuonNormalisation_v, 1, 20, 47663, 350.718384
DST_CaloJet40_BTagScouting_v, 12457, 6, 1320, 9.71702
DST_CaloJet40_CaloBTagScouting_v, 12457, 3, 2699, 19.868004
DST_CaloJet40_CaloScouting_PFScouting_v, 12457, 6, 2204, 16.22648
DST_DoubleMu1_noVtx_CaloScouting_v, 1, 1, 409842, 3015.785648
DST_DoubleMu3_noVtx_CaloScouting_Monitoring_v, 1, 1, 405079, 2980.728904
DST_DoubleMu3_noVtx_CaloScouting_v, 1, 1, 352206, 2591.670744
DST_DoubleMu3_noVtx_Mass10_PFScouting_v, 1, 1, 116172, 854.833608
DST_HT250_CaloBTagScouting_v, 1, 1, 471119, 3466.674244
DST_HT250_CaloScouting_v, 1, 1, 474027, 3488.070556
DST_HT410_BTagScouting_v, 1, 1, 121079, 890.94696
DST_HT410_PFScouting_v, 1, 1, 121089, 891.022432
DST_L1DoubleMu_BTagScouting_v, 1, 0, 0, 0.0
DST_L1DoubleMu_CaloScouting_PFScouting_v, 1, 0, 0, 0.0
DST_L1HTT_BTagScouting_v, 1, 200, 2903, 21.358576
DST_L1HTT_CaloBTagScouting_v, 1, 200, 2883, 21.207632
DST_L1HTT_CaloScouting_PFScouting_v, 1, 200, 3257, 23.96236
DST_Physics_v, 1, 10, 954968, 7027.028108
DST_ZeroBias_BTagScouting_v, 12457, 175, 131, 0.962268
DST_ZeroBias_CaloScouting_PFScouting_v, 12457, 175, 3374, 24.830288
DST_ZeroBias_v, 12457, 1, 579355, 4263.13026
HLT_AK4CaloJet100_v, 17000, 0, 0, 0.0
HLT_AK4CaloJet120_v, 17000, 0, 0, 0.0
HLT_AK4CaloJet30_v, 12457, 0, 0, 0.0
HLT_AK4CaloJet40_v, 12457, 0, 0, 0.0
HLT_AK4CaloJet50_v, 12457, 0, 0, 0.0
HLT_AK4CaloJet80_v, 159000, 0, 0, 0.0
HLT_AK4PFJet100_v, 17000, 0, 0, 0.0
