Dataset, Counts, Rates (Hz)
EphemeralHLTPhysics1, 0, 0
EphemeralHLTPhysics2, 0, 0
EphemeralHLTPhysics3, 0, 0
EphemeralHLTPhysics4, 0, 0
EphemeralHLTPhysics5, 0, 0
EphemeralHLTPhysics6, 0, 0
EphemeralHLTPhysics7, 0, 0
EphemeralHLTPhysics8, 0, 0
EphemeralZeroBias1, 0, 0
EphemeralZeroBias2, 0, 0
EphemeralZeroBias3, 0, 0
EphemeralZeroBias4, 0, 0
EphemeralZeroBias5, 0, 0
EphemeralZeroBias6, 0, 0
EphemeralZeroBias7, 0, 0
EphemeralZeroBias8, 0, 0
ScoutingCaloHT, 359, 359
ScoutingPFHT, 89, 89
ScoutingPFCommissioning, 6, 6
ScoutingCaloCommissioning, 3, 3
ScoutingCaloMuon, 684, 684
ScoutingPFMuon, 107, 107
AlCaPhiSym, 333, 333
RPCMonitor, 29, 29
AlCaLumiPixels, 304, 304
AlCaP0, 1170, 1170
ParkingBPH1, 0, 0
ParkingBPH2, 0, 0
ParkingBPH3, 0, 0
ParkingBPH4, 0, 0
ParkingBPH5, 0, 0
