Groups, Counts, Rates (Hz), Pure Counts, Pure Rates (Hz), Shared Counts, Shared Rates (Hz)
TAU, 2, 2, 0, 0, 0.433333333333, 0.433333333333
BTV, 3, 3, 3, 3, 3.0, 3.0
TSG, 9, 9, 2, 2, 5.5, 5.5
ECAL, 10, 10, 0, 0, 1.225, 1.225
BPH, 18, 18, 17, 17, 17.2, 17.2
TOP, 40, 40, 3, 3, 8.53571428571, 8.53571428571
HIG, 47, 47, 3, 3, 11.2023809524, 11.2023809524
TRK-DPG, 0, 0, 0, 0, 0, 0
SMP, 55, 55, 3, 3, 12.9857142857, 12.9857142857
HCAL, 2, 2, 0, 0, 1.0, 1.0
RPC, 0, 0, 0, 0, 0, 0
TRK-POG, 0, 0, 0, 0, 0, 0
SUS, 50, 50, 3, 3, 12.3523809524, 12.3523809524
EGM, 16, 16, 3, 3, 5.11785714286, 5.11785714286
EXO, 63, 63, 3, 3, 16.719047619, 16.719047619
B2G, 44, 44, 1, 1, 8.48571428571, 8.48571428571
MUO, 32, 32, 1, 1, 6.475, 6.475
ALCA, 33, 33, 3, 3, 10.1178571429, 10.1178571429
LUMI, 0, 0, 0, 0, 0, 0
HIN, 0, 0, 0, 0, 0, 0
JME, 3, 3, 0, 0, 0.65, 0.65
