Path, Groups, Type, Total Count, Total Rate (Hz), Pure Count, Pure Rate (Hz)
Total Misc, , , 2344, 2344
HLT_DoubleEle24_eta2p1_WPTight_Gsf_v7, , , 1, 1, 0, 0
HLT_HT450_Beamspot_v11, , , 0, 0, 0, 0
HLT_HT300_Beamspot_v11, , , 7, 7, 0, 0
HLT_ZeroBias_Beamspot_v4, , , 2, 2, 0, 0
HLT_IsoMu24_eta2p1_MediumChargedIsoPFTauHPS35_Trk1_eta2p1_Reg_CrossL1_v3, , , 0, 0, 0, 0
HLT_IsoMu27_LooseChargedIsoPFTauHPS20_Trk1_eta2p1_SingleL1_v1, , , 0, 0, 0, 0
HLT_IsoMu27_MediumChargedIsoPFTauHPS20_Trk1_eta2p1_SingleL1_v1, , , 0, 0, 0, 0
HLT_IsoMu27_TightChargedIsoPFTauHPS20_Trk1_eta2p1_SingleL1_v1, , , 0, 0, 0, 0
HLT_L2Mu23NoVtx_2Cha_v1, , , 137, 137, 3, 3
HLT_L2Mu23NoVtx_2Cha_CosmicSeed_v1, , , 107, 107, 3, 3
HLT_DiPFJetAve15_HFJEC_v17, , , 0, 0, 0, 0
HLT_DiPFJetAve25_HFJEC_v17, , , 0, 0, 0, 0
HLT_DoubleIsoMu20_eta2p1_v7, , , 1, 1, 0, 0
HLT_Physics_part0_v7, TSG , control , 0, 0, 0, 0
HLT_Physics_part1_v7, TSG , control , 0, 0, 0, 0
HLT_Physics_part2_v7, TSG , control , 0, 0, 0, 0
HLT_Physics_part3_v7, TSG , control , 0, 0, 0, 0
HLT_Physics_part4_v7, TSG , control , 0, 0, 0, 0
HLT_Physics_part5_v7, TSG , control , 0, 0, 0, 0
HLT_Physics_part6_v7, TSG , control , 0, 0, 0, 0
HLT_Physics_part7_v7, TSG , control , 0, 0, 0, 0
DST_Physics_v7, , , 811, 811, 0, 0
HLT_ZeroBias_part0_v6, TSG , control , 0, 0, 0, 0
HLT_ZeroBias_part1_v6, TSG , control , 0, 0, 0, 0
HLT_ZeroBias_part2_v6, TSG , control , 0, 0, 0, 0
HLT_ZeroBias_part3_v6, TSG , control , 0, 0, 0, 0
HLT_ZeroBias_part4_v6, TSG , control , 0, 0, 0, 0
HLT_ZeroBias_part5_v6, TSG , control , 0, 0, 0, 0
HLT_ZeroBias_part6_v6, TSG , control , 0, 0, 0, 0
HLT_ZeroBias_part7_v6, TSG , control , 0, 0, 0, 0
DST_ZeroBias_v2, , , 304, 304, 0, 0
HLT_AK4CaloJet30_v11, , , 0, 0, 0, 0
HLT_AK4CaloJet40_v10, , , 0, 0, 0, 0
HLT_AK4CaloJet50_v10, , , 0, 0, 0, 0
HLT_AK4CaloJet80_v10, , , 0, 0, 0, 0
HLT_AK4CaloJet100_v10, , , 0, 0, 0, 0
HLT_AK4CaloJet120_v9, , , 0, 0, 0, 0
HLT_AK4PFJet30_v19, , , 0, 0, 0, 0
HLT_AK4PFJet50_v19, , , 0, 0, 0, 0
HLT_AK4PFJet80_v19, , , 0, 0, 0, 0
HLT_AK4PFJet100_v19, , , 0, 0, 0, 0
HLT_AK4PFJet120_v18, , , 0, 0, 0, 0
HLT_EcalCalibration_v4, , , 0, 0, 0, 0
HLT_HcalCalibration_v5, , , 0, 0, 0, 0
AlCa_EcalPhiSym_v9, ALCA ECAL , control , 333, 333, 0, 0
HLT_L1UnpairedBunchBptxMinus_v2, , , 0, 0, 0, 0
HLT_L1UnpairedBunchBptxPlus_v2, , , 0, 0, 0, 0
HLT_L1NotBptxOR_v3, , , 0, 0, 0, 0
AlCa_RPCMuonNormalisation_v13, RPC , signal , 29, 29, 0, 0
AlCa_LumiPixels_Random_v4, ALCA LUMI , control , 0, 0, 0, 0
AlCa_LumiPixels_ZeroBias_v8, ALCA LUMI , control , 304, 304, 0, 0
AlCa_EcalPi0EBonly_v13, ALCA ECAL , signal , 861, 861, 0, 0
AlCa_EcalPi0EEonly_v13, ALCA ECAL , signal , 224, 224, 0, 0
AlCa_EcalEtaEBonly_v13, ALCA ECAL , signal , 272, 272, 0, 0
AlCa_EcalEtaEEonly_v13, ALCA ECAL , signal , 32, 32, 0, 0
HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_v12, , , 0, 0, 0, 0
HLT_IsoMu27_MET90_v3, , , 1, 1, 0, 0
HLT_TrkMu6NoFiltersNoVtx_v1, , , 0, 0, 0, 0
HLT_TrkMu16NoFiltersNoVtx_v1, , , 0, 0, 0, 0
