Path, Groups, Type, Total Count, Total Rate (Hz), Pure Count, Pure Rate (Hz)
Total Scouting, , , 726, 726
DST_HT250_CaloScouting_v10, EXO , signal , 359, 359, 0, 0
DST_HT250_CaloBTagScouting_v10, EXO , signal , 357, 357, 0, 0
DST_HT410_PFScouting_v16, EXO , signal , 89, 89, 0, 0
DST_HT410_BTagScouting_v16, EXO , signal , 89, 89, 0, 0
DST_ZeroBias_BTagScouting_v15, EXO , control , 0, 0, 0, 0
DST_ZeroBias_CaloScouting_PFScouting_v14, EXO , control , 1, 1, 0, 0
DST_CaloJet40_BTagScouting_v15, EXO , control , 1, 1, 0, 0
DST_CaloJet40_CaloScouting_PFScouting_v15, EXO , control , 3, 3, 0, 0
DST_CaloJet40_CaloBTagScouting_v14, EXO , control , 1, 1, 0, 0
DST_L1HTT_BTagScouting_v15, EXO , control , 2, 2, 0, 0
DST_L1HTT_CaloScouting_PFScouting_v15, EXO , control , 2, 2, 0, 0
DST_L1HTT_CaloBTagScouting_v14, EXO , control , 2, 2, 0, 0
DST_L1DoubleMu_BTagScouting_v16, EXO , control , 0, 0, 0, 0
DST_L1DoubleMu_CaloScouting_PFScouting_v15, EXO , control , 0, 0, 0, 0
DST_DoubleMu3_noVtx_CaloScouting_Monitoring_v6, EXO , control , 322, 322, 0, 0
DST_DoubleMu3_noVtx_CaloScouting_v6, EXO , signal , 291, 291, 0, 0
DST_DoubleMu1_noVtx_CaloScouting_v2, EXO , signal , 363, 363, 0, 0
DST_DoubleMu3_noVtx_Mass10_PFScouting_v3, EXO , signal , 107, 107, 0, 0
