Streams, Counts, Rates (Hz)
PhysicsEGamma, 31, 31
PhysicsCommissioning, 15, 15
PhysicsHadronsTaus, 23, 23
ParkingBPH5, 0, 0
ParkingBPH4, 0, 0
ParkingBPH1, 0, 0
ParkingBPH3, 0, 0
ParkingBPH2, 0, 0
ScoutingCaloMuon, 723, 723
ALCAP0, 1170, 1170
PhysicsMuons, 56, 56
PhysicsZeroBias4, 0, 0
PhysicsZeroBias2, 0, 0
PhysicsZeroBias3, 0, 0
ScoutingPF, 202, 202
PhysicsZeroBias1, 0, 0
ALCAPHISYM, 333, 333
ALCALUMIPIXELS, 304, 304
RPCMON, 29, 29
PhysicsHLTPhysics2, 0, 0
PhysicsHLTPhysics3, 0, 0
PhysicsHLTPhysics1, 0, 0
PhysicsHLTPhysics4, 0, 0
