Paths, STEAM L1 PS, STEAM HLT PS, STEAM Counts, STEAM Rates (Hz), WBM L1 PS, WBM HLT PS, WBM Counts, WBM Rates (Hz), STEAM-WBM (Hz), Error (Hz), Rel. difference, Error, Pull
HLT_IsoMu24_v13, 1, 1, 22, 236.52, 1, 1, 69224, 270.22, -33.7, 50.44, -0.12, 0.19, -0.67
HLT_IsoMu24_eta2p1_v15, 1, 1, 21, 225.76, 1, 1, 62772, 245.03, -19.27, 49.27, -0.08, 0.2, -0.39
HLT_IsoMu27_v16, 1, 150, 19, 204.26, 1, 1, 57273, 223.57, -19.31, 46.87, -0.09, 0.21, -0.41
HLT_IsoMu30_v4, 1, 1, 16, 172.01, 1, 1, 47777, 186.5, -14.49, 43.01, -0.08, 0.23, -0.34
HLT_Ele32_WPTight_Gsf_v15, 1, 1, 14, 150.51, 1, 1, 49193, 192.03, -41.52, 40.23, -0.22, 0.21, -1.03
HLT_Ele32_WPTight_Gsf_L1DoubleEG_v9, 1, 1, 14, 150.51, 1, 1, 49611, 193.66, -43.15, 40.23, -0.22, 0.21, -1.07
HLT_Ele35_WPTight_Gsf_v9, 1, 200, 11, 118.26, 1, 1, 39528, 154.29, -36.03, 35.67, -0.23, 0.23, -1.01
HLT_Ele35_WPTight_Gsf_L1EGMT_v5, 1, 1, 10, 107.51, 1, 1, 35234, 137.54, -30.03, 34.01, -0.22, 0.25, -0.88
HLT_Ele40_WPTight_Gsf_v9, 1, 1, 10, 107.51, 1, 1, 25210, 98.41, 9.1, 34.0, 0.09, 0.35, 0.27
HLT_Ele38_WPTight_Gsf_v9, 1, 1, 10, 107.51, 1, 1, 30340, 118.43, -10.92, 34.0, -0.09, 0.29, -0.32
HLT_IsoMu24_TwoProngs35_v1, 1, 1, 9, 96.76, 1, 1, 31331, 122.31, -25.55, 32.26, -0.21, 0.26, -0.79
HLT_Mu50_v13, 1, 50, 7, 75.25, 1, 1, 13688, 53.43, 21.82, 28.45, 0.41, 0.53, 0.77
HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned_v13, 1, 1, 7, 75.25, 1, 1, 15553, 60.71, 14.54, 28.45, 0.24, 0.47, 0.51
HLT_ZeroBias_v6, 7193, 42, 7, 75.25, 17881, 52, 9472, 36.97, 38.28, 28.44, 1.04, 0.77, 1.35
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v15, 1, 1, 6, 64.5, 1, 1, 10796, 42.14, 22.36, 26.34, 0.53, 0.62, 0.85
