Groups,  Counts,  Rates (Hz),  Pure Counts,  Pure Rates (Hz),  Shared Counts,  Shared Rates (Hz)
BPH, 18, 193.51, 17, 182.76, 17.2, 184.91
EXO, 63, 677.29, 3, 32.25, 16.719047619, 179.74
SMP, 55, 591.29, 3, 32.25, 12.9857142857, 139.61
SUS, 50, 537.53, 3, 32.25, 12.3523809524, 132.8
HIG, 47, 505.28, 3, 32.25, 11.2023809524, 120.43
ALCA, 33, 354.77, 3, 32.25, 10.1178571429, 108.77
TOP, 40, 430.03, 3, 32.25, 8.53571428571, 91.76
B2G, 44, 473.03, 1, 10.75, 8.48571428571, 91.23
MUO, 32, 344.02, 1, 10.75, 6.475, 69.61
TSG, 9, 96.76, 2, 21.5, 5.5, 59.13
EGM, 16, 172.01, 3, 32.25, 5.11785714286, 55.02
BTV, 3, 32.25, 3, 32.25, 3.0, 32.25
ECAL, 10, 107.51, 0, 0.0, 1.225, 13.17
HCAL, 2, 21.5, 0, 0.0, 1.0, 10.75
JME, 3, 32.25, 0, 0.0, 0.65, 6.99
TAU, 2, 21.5, 0, 0.0, 0.433333333333, 4.66
TRK-POG, 0, 0.0, 0, 0.0, 0, 0.0
LUMI, 0, 0.0, 0, 0.0, 0, 0.0
TRK-DPG, 0, 0.0, 0, 0.0, 0, 0.0
RPC, 0, 0.0, 0, 0.0, 0, 0.0
HIN, 0, 0.0, 0, 0.0, 0, 0.0
