Path (w/ version number), Path,  Groups,  Type,  Total Count,  Total Rate (Hz),  Pure Count,  Pure Rate (Hz)
HLT_Mu8_IP5_part3_v2, HLT_Mu8_IP5_part3_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu12_IP6_part3_v2, HLT_Mu12_IP6_part3_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu9_IP6_part3_v2, HLT_Mu9_IP6_part3_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu8_IP6_part1_v2, HLT_Mu8_IP6_part1_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu7_IP4_part2_v2, HLT_Mu7_IP4_part2_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu9_IP4_part4_v2, HLT_Mu9_IP4_part4_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu8_IP6_part4_v2, HLT_Mu8_IP6_part4_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu8_IP3_part3_v2, HLT_Mu8_IP3_part3_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu12_IP6_part2_v2, HLT_Mu12_IP6_part2_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu9_IP5_part4_v2, HLT_Mu9_IP5_part4_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu8_IP3_part1_v2, HLT_Mu8_IP3_part1_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu8_IP3_part2_v2, HLT_Mu8_IP3_part2_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu9_IP6_part0_v2, HLT_Mu9_IP6_part0_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu9_IP4_part3_v2, HLT_Mu9_IP4_part3_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu9_IP5_part0_v2, HLT_Mu9_IP5_part0_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu9_IP6_part1_v2, HLT_Mu9_IP6_part1_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu9_IP5_part2_v2, HLT_Mu9_IP5_part2_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu12_IP6_part4_v2, HLT_Mu12_IP6_part4_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu8_IP3_part0_v2, HLT_Mu8_IP3_part0_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu9_IP4_part2_v2, HLT_Mu9_IP4_part2_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu9_IP6_part4_v2, HLT_Mu9_IP6_part4_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu9_IP5_part1_v2, HLT_Mu9_IP5_part1_v,  BPH ,  signal , 0, 0.0, 0, 0.0
Total Parking, Total Parking,  ,  , 0, 0.0
HLT_Mu9_IP4_part0_v2, HLT_Mu9_IP4_part0_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu8_IP6_part2_v2, HLT_Mu8_IP6_part2_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu8_IP5_part2_v2, HLT_Mu8_IP5_part2_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu9_IP6_part2_v2, HLT_Mu9_IP6_part2_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu9_IP4_part1_v2, HLT_Mu9_IP4_part1_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu8_IP6_part0_v2, HLT_Mu8_IP6_part0_v,  BPH ,  unknown , 0, 0.0, 0, 0.0
HLT_Mu8_IP5_part4_v2, HLT_Mu8_IP5_part4_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu7_IP4_part0_v2, HLT_Mu7_IP4_part0_v,  BPH ,  unknown , 0, 0.0, 0, 0.0
HLT_Mu12_IP6_part0_v2, HLT_Mu12_IP6_part0_v,  BPH ,  unknown , 0, 0.0, 0, 0.0
HLT_Mu8_IP5_part0_v2, HLT_Mu8_IP5_part0_v,  BPH ,  unknown , 0, 0.0, 0, 0.0
HLT_Mu9_IP5_part3_v2, HLT_Mu9_IP5_part3_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu8_IP3_part4_v2, HLT_Mu8_IP3_part4_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu7_IP4_part1_v2, HLT_Mu7_IP4_part1_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu8_IP5_part1_v2, HLT_Mu8_IP5_part1_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu12_IP6_part1_v2, HLT_Mu12_IP6_part1_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu8_IP6_part3_v2, HLT_Mu8_IP6_part3_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu7_IP4_part3_v2, HLT_Mu7_IP4_part3_v,  BPH ,  signal , 0, 0.0, 0, 0.0
HLT_Mu7_IP4_part4_v2, HLT_Mu7_IP4_part4_v,  BPH ,  signal , 0, 0.0, 0, 0.0
