Path (w/ version number), Path,  Groups,  Type,  Total Count,  Total Rate (Hz),  Pure Count,  Pure Rate (Hz)
Total Physics, Total Physics,  ,  , 121, 1300.83
Total Analysis Physics, Total Analysis Physics,  ,  , 88, 946.06
HLT_IsoMu24_v13, HLT_IsoMu24_v,  MUO SMP ,  signal , 22, 236.52, 0, 0.0
HLT_IsoMu24_eta2p1_v15, HLT_IsoMu24_eta2p1_v,  MUO SUS SMP TOP ,  signal , 21, 225.76, 0, 0.0
HLT_IsoMu27_v16, HLT_IsoMu27_v,  ALCA MUO SMP SUS HIG B2G TOP EXO ,  signal , 19, 204.26, 0, 0.0
HLT_IsoMu30_v4, HLT_IsoMu30_v,  MUO ,  backup , 16, 172.01, 0, 0.0
HLT_Ele32_WPTight_Gsf_v15, HLT_Ele32_WPTight_Gsf_v,  EGM ,  signal , 14, 150.51, 0, 0.0
HLT_Ele32_WPTight_Gsf_L1DoubleEG_v9, HLT_Ele32_WPTight_Gsf_L1DoubleEG_v,  EGM ,  control , 14, 150.51, 0, 0.0
HLT_Ele35_WPTight_Gsf_v9, HLT_Ele35_WPTight_Gsf_v,  EGM SUS SMP EXO TOP B2G HIG ,  signal , 11, 118.26, 0, 0.0
HLT_Ele35_WPTight_Gsf_L1EGMT_v5, HLT_Ele35_WPTight_Gsf_L1EGMT_v,  ECAL ,  signal , 10, 107.51, 0, 0.0
HLT_Ele40_WPTight_Gsf_v9, HLT_Ele40_WPTight_Gsf_v,  EGM SUS SMP EXO TOP HIG ,  backup , 10, 107.51, 0, 0.0
HLT_Ele38_WPTight_Gsf_v9, HLT_Ele38_WPTight_Gsf_v,  EGM SUS SMP EXO TOP B2G HIG ,  backup , 10, 107.51, 0, 0.0
HLT_IsoMu24_TwoProngs35_v1, HLT_IsoMu24_TwoProngs35_v,  HIG ,  control , 9, 96.76, 0, 0.0
HLT_Mu50_v13, HLT_Mu50_v,  SMP MUO B2G EXO ,  signal , 7, 75.25, 2, 21.5
HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned_v13, HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned_v,  TOP ,  signal , 7, 75.25, 1, 10.75
