Streams,  Counts,  Rates (Hz)
ALCAP0, 1170, 12578.31
ScoutingCaloMuon, 723, 7772.75
ALCAPHISYM, 333, 3579.98
ALCALUMIPIXELS, 304, 3268.21
ScoutingPF, 202, 2171.64
PhysicsMuons, 56, 602.04
PhysicsEGamma, 31, 333.27
RPCMON, 29, 311.77
PhysicsHadronsTaus, 23, 247.27
PhysicsCommissioning, 15, 161.26
ParkingBPH5, 0, 0.0
ParkingBPH4, 0, 0.0
ParkingBPH1, 0, 0.0
ParkingBPH3, 0, 0.0
ParkingBPH2, 0, 0.0
PhysicsZeroBias4, 0, 0.0
PhysicsZeroBias2, 0, 0.0
PhysicsZeroBias3, 0, 0.0
PhysicsZeroBias1, 0, 0.0
PhysicsHLTPhysics2, 0, 0.0
PhysicsHLTPhysics3, 0, 0.0
PhysicsHLTPhysics1, 0, 0.0
PhysicsHLTPhysics4, 0, 0.0
