Paths, L1 PS, HLT PS, Counts, Rates (Hz)
AlCa_EcalEtaEBonly_v, 1, 1, 647421, 2527.19745223
AlCa_EcalEtaEEonly_v, 1, 1, 84026, 328.0
AlCa_EcalPhiSym_v, 110, 1, 491918, 1920.1910828
AlCa_EcalPi0EBonly_v, 1, 1, 2101609, 8203.5923567
AlCa_EcalPi0EEonly_v, 1, 1, 512249, 1999.55414013
AlCa_LumiPixels_Random_v, 1, 1, 126540, 493.949044587
AlCa_LumiPixels_ZeroBias_v, 17881, 1, 491920, 1920.20382166
AlCa_RPCMuonNormalisation_v, 1, 20, 89822, 350.624203822
DST_CaloJet40_BTagScouting_v, 17881, 6, 1801, 7.03184713377
DST_CaloJet40_CaloBTagScouting_v, 17881, 3, 4315, 16.8407643312
DST_CaloJet40_CaloScouting_PFScouting_v, 17881, 6, 3480, 13.5796178344
DST_DoubleMu1_noVtx_CaloScouting_v, 1, 1, 824769, 3219.47770701
DST_DoubleMu3_noVtx_CaloScouting_Monitoring_v, 1, 1, 792875, 3094.98089172
DST_DoubleMu3_noVtx_CaloScouting_v, 1, 1, 681203, 2659.0700637
DST_DoubleMu3_noVtx_Mass10_PFScouting_v, 1, 1, 241021, 940.815286625
DST_HT250_CaloBTagScouting_v, 1, 1, 902695, 3523.65605096
DST_HT250_CaloScouting_v, 1, 1, 908950, 3548.07643313
DST_HT410_BTagScouting_v, 1, 1, 220014, 858.815286625
DST_HT410_PFScouting_v, 1, 1, 220029, 858.878980893
DST_L1DoubleMu_BTagScouting_v, 1, 0, 0, 0.0
DST_L1DoubleMu_CaloScouting_PFScouting_v, 1, 0, 0, 0.0
DST_L1HTT_BTagScouting_v, 1, 200, 5854, 22.8535031847
DST_L1HTT_CaloBTagScouting_v, 1, 200, 5895, 23.0063694268
DST_L1HTT_CaloScouting_PFScouting_v, 1, 200, 6567, 25.6305732484
DST_Physics_v, 1, 10, 1942597, 7582.89171975
DST_ZeroBias_BTagScouting_v, 17881, 175, 160, 0.624203821657
DST_ZeroBias_CaloScouting_PFScouting_v, 17881, 175, 2833, 11.0573248408
DST_ZeroBias_v, 17881, 1, 491920, 1920.20382166
HLT_AK4CaloJet100_v, 17000, 0, 0, 0.0
HLT_AK4CaloJet120_v, 17000, 0, 0, 0.0
HLT_AK4CaloJet30_v, 17881, 0, 0, 0.0
HLT_AK4CaloJet40_v, 17881, 0, 0, 0.0
HLT_AK4CaloJet50_v, 17881, 0, 0, 0.0
HLT_AK4CaloJet80_v, 64000, 0, 0, 0.0
HLT_AK4PFJet100_v, 17000, 0, 0, 0.0
HLT_AK4PFJet120_v, 17000, 0, 0, 0.0
HLT_AK4PFJet30_v, 17881, 0, 0, 0.0
HLT_AK4PFJet50_v, 17881, 0, 0, 0.0
HLT_AK4PFJet80_v, 64000, 0, 0, 0.0
HLT_AK8PFHT750_TrimMass50_v, 1, 0, 0, 0.0
HLT_AK8PFHT800_TrimMass50_v, 1, 1, 3925, 15.3248407643
HLT_AK8PFHT850_TrimMass50_v, 1, 1, 3063, 11.9617834395
HLT_AK8PFHT900_TrimMass50_v, 1, 1, 2412, 9.41401273886
HLT_AK8PFJet140_v, 1500, 1, 1142, 4.45859872612
HLT_AK8PFJet15_v, 17881, 0, 0, 0.0
HLT_AK8PFJet200_v, 350, 1, 849, 3.31210191083
HLT_AK8PFJet25_v, 17881, 0, 0, 0.0
HLT_AK8PFJet260_v, 1, 128, 705, 2.75159235669
HLT_AK8PFJet320_v, 1, 48, 725, 2.82802547771
HLT_AK8PFJet330_TrimMass30_PFAK8BTagDeepCSV_p17_v, 1, 1, 4379, 17.0955414013
HLT_AK8PFJet330_TrimMass30_PFAK8BTagDeepCSV_p1_v, 1, 1, 2357, 9.19745222931
HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v, 1, 1, 13124, 51.2356687899
HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np4_v, 1, 1, 13903, 54.2675159236
HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_p02_v, 1, 1, 5444, 21.2484076433
HLT_AK8PFJet360_TrimMass30_v, 1, 0, 0, 0.0
HLT_AK8PFJet380_TrimMass30_v, 1, 0, 0, 0.0
HLT_AK8PFJet400_TrimMass30_v, 1, 1, 7977, 31.1337579618
HLT_AK8PFJet400_v, 1, 16, 700, 2.72611464968
HLT_AK8PFJet40_v, 17881, 250, 880, 3.43949044586
HLT_AK8PFJet420_TrimMass30_v, 1, 1, 6377, 24.8917197453
HLT_AK8PFJet450_v, 1, 8, 737, 2.87898089172
HLT_AK8PFJet500_v, 1, 1, 3496, 13.6433121019
HLT_AK8PFJet550_v, 1, 1, 2134, 8.33121019109
HLT_AK8PFJet60_v, 64000, 2, 1323, 5.1592356688
HLT_AK8PFJet80_v, 17000, 2, 722, 2.81528662421
HLT_AK8PFJetFwd140_v, 250, 2, 467, 1.82165605096
HLT_AK8PFJetFwd15_v, 17881, 0, 0, 0.0
HLT_AK8PFJetFwd200_v, 40, 1, 467, 1.82165605096
HLT_AK8PFJetFwd25_v, 17881, 0, 0, 0.0
HLT_AK8PFJetFwd260_v, 1, 8, 1032, 4.02547770701
HLT_AK8PFJetFwd320_v, 1, 4, 488, 1.91082802548
HLT_AK8PFJetFwd400_v, 1, 1, 344, 1.33757961784
HLT_AK8PFJetFwd40_v, 17881, 750, 279, 1.08280254777
HLT_AK8PFJetFwd450_v, 1, 1, 132, 0.509554140128
HLT_AK8PFJetFwd500_v, 1, 1, 48, 0.191082802548
HLT_AK8PFJetFwd60_v, 103000, 1, 725, 2.82802547771
HLT_AK8PFJetFwd80_v, 5100, 3, 460, 1.79617834395
HLT_BTagMu_AK4DiJet110_Mu5_v, 13, 1, 1371, 5.35031847134
HLT_BTagMu_AK4DiJet170_Mu5_v, 3, 1, 1456, 5.68152866243
HLT_BTagMu_AK4DiJet20_Mu5_v, 400, 4, 1432, 5.5923566879
HLT_BTagMu_AK4DiJet40_Mu5_v, 256, 1, 1503, 5.87261146498
HLT_BTagMu_AK4DiJet70_Mu5_v, 52, 1, 1548, 6.03821656052
HLT_BTagMu_AK4Jet300_Mu5_v, 1, 1, 817, 3.1847133758
HLT_BTagMu_AK8DiJet170_Mu5_v, 3, 1, 1693, 6.61146496816
HLT_BTagMu_AK8Jet170_DoubleMu5_v, 1, 1, 193, 0.751592356689
HLT_BTagMu_AK8Jet300_Mu5_v, 1, 1, 921, 3.5923566879
HLT_CDC_L2cosmic_5_er1p0_v, 190, 1, 156, 0.611464968154
HLT_CDC_L2cosmic_5p5_er1p0_v, 190, 1, 131, 0.509554140128
HLT_CaloJet500_NoJetID_v, 1, 1, 3599, 14.050955414
HLT_CaloJet550_NoJetID_v, 1, 1, 2197, 8.57324840765
HLT_CaloMET100_HBHECleaned_v, 1, 64, 645, 2.52229299363
HLT_CaloMET100_NotCleaned_v, 1, 128, 451, 1.75796178344
HLT_CaloMET110_NotCleaned_v, 1, 128, 322, 1.26114649682
HLT_CaloMET250_HBHECleaned_v, 1, 8, 317, 1.23566878981
HLT_CaloMET250_NotCleaned_v, 1, 8, 357, 1.38853503185
HLT_CaloMET300_HBHECleaned_v, 1, 4, 376, 1.46496815287
HLT_CaloMET350_HBHECleaned_v, 1, 1, 816, 3.1847133758
HLT_CaloMET70_HBHECleaned_v, 1, 128, 756, 2.95541401274
HLT_CaloMET80_HBHECleaned_v, 1, 128, 572, 2.22929936306
HLT_CaloMET80_NotCleaned_v, 1, 128, 770, 3.00636942676
HLT_CaloMET90_HBHECleaned_v, 1, 128, 439, 1.71974522293
HLT_CaloMET90_NotCleaned_v, 1, 128, 585, 2.28025477707
HLT_CaloMHT90_v, 1, 128, 740, 2.89171974523
HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v, 1, 1, 5623, 21.949044586
HLT_DiJet110_35_Mjj650_PFMET110_v, 1, 1, 6034, 23.5541401274
HLT_DiJet110_35_Mjj650_PFMET120_v, 1, 1, 4012, 15.6560509554
HLT_DiJet110_35_Mjj650_PFMET130_v, 1, 1, 2753, 10.7515923567
HLT_DiMu4_Ele9_CaloIdL_TrackIdL_DZ_Mass3p8_v, 1, 1, 1391, 5.42675159236
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_DZ_v, 1, 1, 328, 1.28662420382
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v, 1, 2, 323, 1.26114649682
HLT_DiPFJetAve100_HFJEC_v, 5100, 1, 57, 0.216560509554
HLT_DiPFJetAve140_v, 1500, 1, 452, 1.77070063694
HLT_DiPFJetAve15_HFJEC_v, 17881, 0, 0, 0.0
HLT_DiPFJetAve160_HFJEC_v, 40, 1, 343, 1.33757961784
HLT_DiPFJetAve200_v, 350, 1, 346, 1.35031847134
HLT_DiPFJetAve220_HFJEC_v, 1, 8, 548, 2.14012738854
HLT_DiPFJetAve25_HFJEC_v, 17881, 0, 0, 0.0
HLT_DiPFJetAve260_v, 1, 128, 307, 1.1974522293
HLT_DiPFJetAve300_HFJEC_v, 1, 1, 563, 2.20382165605
HLT_DiPFJetAve320_v, 1, 48, 345, 1.35031847134
HLT_DiPFJetAve400_v, 1, 16, 345, 1.35031847134
HLT_DiPFJetAve40_v, 17881, 25, 257, 1.00636942675
HLT_DiPFJetAve500_v, 1, 4, 408, 1.5923566879
HLT_DiPFJetAve60_HFJEC_v, 17881, 1, 270, 1.05732484077
HLT_DiPFJetAve60_v, 17881, 5, 218, 0.853503184714
HLT_DiPFJetAve80_HFJEC_v, 5100, 1, 160, 0.624203821657
HLT_DiPFJetAve80_v, 17000, 1, 358, 1.40127388535
HLT_DiSC30_18_EIso_AND_HE_Mass70_v, 1, 256, 294, 1.14649681529
HLT_Dimuon0_Jpsi3p5_Muon2_v, 1, 1, 4342, 16.9426751593
HLT_Dimuon0_Jpsi_L1_4R_0er1p5R_v, 1, 300, 310, 1.2101910828
HLT_Dimuon0_Jpsi_L1_NoOS_v, 430, 16, 11, 0.0382165605096
HLT_Dimuon0_Jpsi_NoVertexing_L1_4R_0er1p5R_v, 1, 300, 350, 1.36305732484
HLT_Dimuon0_Jpsi_NoVertexing_NoOS_v, 430, 16, 17, 0.063694267516
HLT_Dimuon0_Jpsi_NoVertexing_v, 0, 16, 16, 0.063694267516
HLT_Dimuon0_Jpsi_v, 0, 16, 11, 0.0382165605096
HLT_Dimuon0_LowMass_L1_0er1p5R_v, 1, 0, 0, 0.0
HLT_Dimuon0_LowMass_L1_0er1p5_v, 0, 1, 313, 1.22292993631
HLT_Dimuon0_LowMass_L1_4R_v, 1, 0, 0, 0.0
HLT_Dimuon0_LowMass_L1_4_v, 0, 2, 278, 1.08280254777
HLT_Dimuon0_LowMass_L1_TM530_v, 40, 18, 93, 0.35668789809
HLT_Dimuon0_LowMass_v, 0, 32, 14, 0.0509554140128
HLT_Dimuon0_Upsilon_L1_4p5NoOS_v, 80, 0, 0, 0.0
HLT_Dimuon0_Upsilon_L1_4p5_v, 80, 16, 38, 0.152866242038
HLT_Dimuon0_Upsilon_L1_4p5er2p0M_v, 1, 180, 164, 0.63694267516
HLT_Dimuon0_Upsilon_L1_4p5er2p0_v, 0, 1, 404, 1.5796178344
HLT_Dimuon0_Upsilon_L1_5M_v, 1, 0, 0, 0.0
HLT_Dimuon0_Upsilon_L1_5_v, 80, 0, 0, 0.0
HLT_Dimuon0_Upsilon_Muon_L1_TM0_v, 0, 0, 0, 0.0
HLT_Dimuon0_Upsilon_Muon_NoL1Mass_v, 55, 1, 54, 0.216560509554
HLT_Dimuon0_Upsilon_NoVertexing_v, 1, 180, 270, 1.05732484077
HLT_Dimuon10_PsiPrime_Barrel_Seagulls_v, 1, 0, 0, 0.0
