#Data tag : v2 , Norm tag: onlineresult
+-------------+---------+-------------------+--------------+--------+----------------------+---------------------+-------+--------+
| run:fill    | ls      | time              | beamstatus   | E(GeV) | delivered(1e33/cm2s) | recorded(1e33/cm2s) | avgpu | source |
+-------------+---------+-------------------+--------------+--------+----------------------+---------------------+-------+--------+
| 319941:6944 | 63:63   | 07/19/18 20:07:22 | STABLE BEAMS | 6500   | 17.329               | 16.585              | 48.5  | HFET   |
| 319941:6944 | 64:64   | 07/19/18 20:07:46 | STABLE BEAMS | 6500   | 17.295               | 16.317              | 48.4  | HFET   |
| 319941:6944 | 65:65   | 07/19/18 20:08:09 | STABLE BEAMS | 6500   | 17.012               | 16.541              | 48.3  | HFET   |
| 319941:6944 | 66:66   | 07/19/18 20:08:32 | STABLE BEAMS | 6500   | 16.878               | 16.414              | 45.8  | HFET   |
| 319941:6944 | 67:67   | 07/19/18 20:08:55 | STABLE BEAMS | 6500   | 16.947               | 16.480              | 46.6  | HFET   |
| 319941:6944 | 68:68   | 07/19/18 20:09:19 | STABLE BEAMS | 6500   | 15.107               | 14.739              | 44.6  | HFET   |
| 319941:6944 | 69:69   | 07/19/18 20:09:42 | STABLE BEAMS | 6500   | 16.280               | 15.849              | 48.0  | HFET   |
| 319941:6944 | 70:70   | 07/19/18 20:10:05 | STABLE BEAMS | 6500   | 15.259               | 14.871              | 36.0  | HFET   |
| 319941:6944 | 71:71   | 07/19/18 20:10:29 | STABLE BEAMS | 6500   | 17.459               | 16.708              | 48.9  | HFET   |
| 319941:6944 | 72:72   | 07/19/18 20:10:52 | STABLE BEAMS | 6500   | 17.438               | 16.688              | 48.8  | HFET   |
| 319941:6944 | 73:73   | 07/19/18 20:11:15 | STABLE BEAMS | 6500   | 17.422               | 16.676              | 48.7  | HFET   |
| 319941:6944 | 74:74   | 07/19/18 20:11:39 | STABLE BEAMS | 6500   | 17.407               | 16.662              | 48.7  | HFET   |
| 319941:6944 | 75:75   | 07/19/18 20:12:02 | STABLE BEAMS | 6500   | 17.391               | 16.890              | 48.7  | HFET   |
| 319941:6944 | 76:76   | 07/19/18 20:12:25 | STABLE BEAMS | 6500   | 17.371               | 16.384              | 48.6  | HFET   |
| 319941:6944 | 77:77   | 07/19/18 20:12:49 | STABLE BEAMS | 6500   | 17.351               | 16.610              | 48.6  | HFET   |
| 319941:6944 | 78:78   | 07/19/18 20:13:12 | STABLE BEAMS | 6500   | 17.330               | 16.593              | 48.5  | HFET   |
| 319941:6944 | 79:79   | 07/19/18 20:13:35 | STABLE BEAMS | 6500   | 17.314               | 16.567              | 48.5  | HFET   |
| 319941:6944 | 80:80   | 07/19/18 20:13:59 | STABLE BEAMS | 6500   | 17.294               | 16.554              | 48.4  | HFET   |
| 319941:6944 | 81:81   | 07/19/18 20:14:22 | STABLE BEAMS | 6500   | 17.277               | 16.780              | 48.3  | HFET   |
| 319941:6944 | 82:82   | 07/19/18 20:14:45 | STABLE BEAMS | 6500   | 17.254               | 16.275              | 48.3  | HFET   |
| 319941:6944 | 83:83   | 07/19/18 20:15:08 | STABLE BEAMS | 6500   | 17.236               | 16.486              | 48.2  | HFET   |
| 319941:6944 | 84:84   | 07/19/18 20:15:32 | STABLE BEAMS | 6500   | 17.215               | 16.249              | 48.2  | HFET   |
| 319941:6944 | 85:85   | 07/19/18 20:15:55 | STABLE BEAMS | 6500   | 17.175               | 16.694              | 48.1  | HFET   |
| 319941:6944 | 86:86   | 07/19/18 20:16:18 | STABLE BEAMS | 6500   | 17.175               | 16.453              | 47.9  | HFET   |
| 319941:6944 | 87:87   | 07/19/18 20:16:42 | STABLE BEAMS | 6500   | 17.174               | 16.453              | 48.1  | HFET   |
| 319941:6944 | 88:88   | 07/19/18 20:17:05 | STABLE BEAMS | 6500   | 17.174               | 16.689              | 48.1  | HFET   |
| 319941:6944 | 89:89   | 07/19/18 20:17:28 | STABLE BEAMS | 6500   | 17.127               | 16.647              | 47.9  | HFET   |
| 319941:6944 | 90:90   | 07/19/18 20:17:52 | STABLE BEAMS | 6500   | 17.116               | 16.403              | 47.9  | HFET   |
